TYPE,YEAR,MONTH,HUNDRED_BLOCK
Theft From Auto Over $5000,2010,01,63XX BOUNDARY RD
Theft From Auto Over $5000,2010,01,19XX E HASTINGS ST
Theft From Auto Over $5000,2010,01,RICHARDS ST / W GEORGIA ST
Theft From Auto Over $5000,2010,01,8XX AVISON WAY
Theft From Auto Over $5000,2010,01,56XX EAST BLVD
Theft From Auto Over $5000,2010,01,7XX W GEORGIA ST
Theft From Auto Over $5000,2010,01,8XX AVISON WAY
Theft From Auto Over $5000,2010,01,39XX INVERNESS ST
Theft From Auto Over $5000,2010,01,38XX W 29TH AVE
Theft From Auto Over $5000,2010,01,17XX BARCLAY ST
Theft From Auto Over $5000,2010,02,9XX BURRARD ST
Theft From Auto Over $5000,2010,02,GRANVILLE ST / ROBSON ST
Theft From Auto Over $5000,2010,02,7XX DUNSMUIR ST
Theft From Auto Over $5000,2010,02,56XX STANLEY PARK DR
Theft From Auto Over $5000,2010,02,22XX ST CATHERINES ST
Theft From Auto Over $5000,2010,02,8XX AVISON WAY
Theft From Auto Over $5000,2010,02,15XX W 59TH AVE
Theft From Auto Over $5000,2010,02,1XX KEEFER ST
Theft From Auto Over $5000,2010,02,1XX KEEFER ST
Theft From Auto Over $5000,2010,02,7XX W GEORGIA ST
Theft From Auto Over $5000,2010,02,1XX W CORDOVA ST
Theft From Auto Over $5000,2010,02,22XX ETON ST
Theft From Auto Over $5000,2010,02,8XX E 16TH AVE
Theft From Auto Over $5000,2010,02,15XX ROBSON ST
Theft From Auto Over $5000,2010,03,12XX ALBERNI ST
Theft From Auto Over $5000,2010,03,11XX ROBSON ST
Theft From Auto Over $5000,2010,03,7XX W GEORGIA ST
Theft From Auto Over $5000,2010,03,6XX ABBOTT ST
Theft From Auto Over $5000,2010,03,35XX W 17TH AVE
Theft From Auto Over $5000,2010,03,11XX GRANVILLE ST
Theft From Auto Over $5000,2010,03,16XX PENDRELL ST
Theft From Auto Over $5000,2010,03,7XX W GEORGIA ST
Theft From Auto Over $5000,2010,03,16XX JOHNSTON ST
Theft From Auto Over $5000,2010,04,67XX KILLARNEY ST
Theft From Auto Over $5000,2010,04,7XX GRANVILLE ST
Theft From Auto Over $5000,2010,04,3XX N GARDEN DR
Theft From Auto Over $5000,2010,04,17XX POWELL ST
Theft From Auto Over $5000,2010,04,84XX ONTARIO ST
Theft From Auto Over $5000,2010,04,7XX W GEORGIA ST
Theft From Auto Over $5000,2010,04,OAK ST / W 67TH AVE
Theft From Auto Over $5000,2010,04,5XX ROBSON ST
Theft From Auto Over $5000,2010,04,7XX SE MARINE DR
Theft From Auto Over $5000,2010,04,8XX GRIFFITHS WAY
Theft From Auto Over $5000,2010,04,11XX HOWE ST
Theft From Auto Over $5000,2010,05,35XX VANNESS AVE
Theft From Auto Over $5000,2010,05,7XX W GEORGIA ST
Theft From Auto Over $5000,2010,05,16XX JOHNSTON ST
Theft From Auto Over $5000,2010,05,4XX W HASTINGS ST
Theft From Auto Over $5000,2010,05,1XX POWELL ST
Theft From Auto Over $5000,2010,06,5XX PACIFIC ST
Theft From Auto Over $5000,2010,06,7XX W GEORGIA ST
Theft From Auto Over $5000,2010,06,7XX MAIN ST
Theft From Auto Over $5000,2010,06,E PENDER ST / MAIN ST
Theft From Auto Over $5000,2010,06,8XX AVISON WAY
Theft From Auto Over $5000,2010,06,36XX VANNESS AVE
Theft From Auto Over $5000,2010,06,3XX SE MARINE DR
Theft From Auto Over $5000,2010,06,4XX SE MARINE DR
Theft From Auto Over $5000,2010,06,8XX AVISON WAY
Theft From Auto Over $5000,2010,06,9XX STANLEY PARK DR
Theft From Auto Over $5000,2010,06,8XX AVISON WAY
Theft From Auto Over $5000,2010,06,6XX MOBERLY RD
Theft From Auto Under $5000,2010,01,2XX E 22ND AVE
Theft From Auto Under $5000,2010,01,36XX W 16TH AVE
Theft From Auto Under $5000,2010,01,29XX E 41ST AVE
Theft From Auto Under $5000,2010,01,10XX LAKEWOOD DR
