TYPE,YEAR,MONTH,HUNDRED_BLOCK
Mischief Over $5000,2009,01,36XX W 1ST AVE
Mischief Over $5000,2009,01,12XX GRANVILLE ST
Mischief Over $5000,2009,01,12XX GRANVILLE ST
Mischief Over $5000,2009,02,3XX E 44TH AVE
Mischief Over $5000,2009,02,74XX ONTARIO ST
Mischief Over $5000,2009,03,10XX GRANVILLE ST
Mischief Over $5000,2009,03,10XX RICHARDS ST
Mischief Over $5000,2009,03,4XX SE MARINE DR
Mischief Over $5000,2009,04,59XX RUPERT ST
Mischief Over $5000,2009,04,4XX ROBSON ST
Mischief Over $5000,2009,04,BEACH AVE / GRANVILLE ST
Mischief Over $5000,2009,04,7XX ALEXANDER ST
Mischief Over $5000,2009,05,55XX FRASER ST
Mischief Over $5000,2009,05,7XX DUNSMUIR ST
Mischief Over $5000,2009,05,14XX GRANVILLE ST
Mischief Over $5000,2009,06,30XX MILLER DR
Mischief Over $5000,2009,06,7XX DUNSMUIR ST
Mischief Over $5000,2009,06,55XX YEW ST
Mischief Over $5000,2009,06,47XX SLOCAN ST
Mischief Over $5000,2009,06,7XX W GEORGIA ST
Theft From Auto Under $5000,2009,01,24XX W 3RD AVE
Theft From Auto Under $5000,2009,01,12XX W 12TH AVE
Theft From Auto Under $5000,2009,01,23XX W BROADWAY AVE
Theft From Auto Under $5000,2009,01,15XX W 1ST AVE
Theft From Auto Under $5000,2009,01,E 10TH AVE / PRINCE EDWARD ST
Theft From Auto Under $5000,2009,01,14XX W 6TH AVE
Theft From Auto Under $5000,2009,01,8XX W 16TH AVE
Theft From Auto Under $5000,2009,01,10XX W GEORGIA ST
Theft From Auto Under $5000,2009,01,6XX CITADEL PRDE
Theft From Auto Under $5000,2009,01,4XX E HASTINGS ST
Theft From Auto Under $5000,2009,01,12XX JOHNSTON ST
Theft From Auto Under $5000,2009,01,21XX QUEBEC ST
Theft From Auto Under $5000,2009,01,17XX VINE ST
Theft From Auto Under $5000,2009,01,30XX MAIN ST
Theft From Auto Under $5000,2009,01,ALBERNI ST / NICOLA ST
Theft From Auto Under $5000,2009,01,5XX E 5TH AVE
Theft From Auto Under $5000,2009,01,15XX MARINER WALK
Theft From Auto Under $5000,2009,01,7XX PACIFIC BLVD
Theft From Auto Under $5000,2009,01,19XX W 1ST AVE
Theft From Auto Under $5000,2009,01,16XX BALSAM ST
Theft From Auto Under $5000,2009,01,86XX SELKIRK ST
Theft From Auto Under $5000,2009,01,1XX NATIONAL AVE
Theft From Auto Under $5000,2009,01,41XX W 13TH AVE
Theft From Auto Under $5000,2009,01,80XX ARGYLE ST
Theft From Auto Under $5000,2009,01,COLUMBIA ST / E PENDER ST
Theft From Auto Under $5000,2009,01,PINE ST / W BROADWAY AVE
Theft From Auto Under $5000,2009,01,33XX KINGSWAY AVE
Theft From Auto Under $5000,2009,01,7XX W 6TH AVE
Theft From Auto Under $5000,2009,01,8XX AVISON WAY
Theft From Auto Under $5000,2009,01,35XX E 29TH AVE
Theft From Auto Under $5000,2009,01,18XX W 2ND AVE
Theft From Auto Under $5000,2009,01,COMMERCIAL DR / E BROADWAY AVE
Theft From Auto Under $5000,2009,01,9XX W CORDOVA ST
Theft From Auto Under $5000,2009,01,7XX W GEORGIA ST
Theft From Auto Under $5000,2009,01,56XX YEW ST
Theft From Auto Under $5000,2009,01,14XX W BROADWAY AVE
Theft From Auto Under $5000,2009,01,4XX PRINCESS AVE
Theft From Auto Under $5000,2009,01,5XX W 12TH AVE
Theft From Auto Under $5000,2009,01,25XX W BROADWAY AVE
Theft From Auto Under $5000,2009,01,BURRARD ST / W GEORGIA ST
Theft From Auto Under $5000,2009,01,E HASTINGS ST / GORE AVE
Theft From Auto Under $5000,2009,01,17XX GRANT ST
Theft From Auto Under $5000,2009,01,23XX W BROADWAY AVE
Theft From Auto Under $5000,2009,01,34XX SE MARINE DR
Theft From Auto Under $5000,2009,01,13XX HARWOOD ST
Theft From Auto Under $5000,2009,01,BURRARD ST / NELSON ST
Theft From Auto Under $5000,2009,01,11XX BURNABY ST
Theft From Auto Under $5000,2009,01,14XX ROBSON ST
Theft From Auto Under $5000,2009,01,41XX OAK ST
Theft From Auto Under $5000,2009,01,41XX OAK ST
Theft From Auto Under $5000,2009,01,33XX COBBLESTONE AVE
Theft From Auto Under $5000,2009,01,SEYMOUR ST / W PENDER ST
Theft From Auto Under $5000,2009,01,57XX DUNBAR ST
Theft From Auto Under $5000,2009,01,DUNSMUIR ST / RICHARDS ST
Theft From Auto Under $5000,2009,01,7XX W BROADWAY AVE
Theft From Auto Under $5000,2009,01,8XX W CORDOVA ST
Theft From Auto Under $5000,2009,01,4XX CAMBIE ST
Theft From Auto Under $5000,2009,01,9XX PACIFIC BLVD
Theft From Auto Under $5000,2009,01,5XX RICHARDS ST
Theft From Auto Under $5000,2009,01,9XX BEACH AVE
Theft From Auto Under $5000,2009,01,5XX PIPELINE RD
Theft From Auto Under $5000,2009,01,SEYMOUR ST / W PENDER ST
Theft From Auto Under $5000,2009,01,10XX ROBSON ST
Theft From Auto Under $5000,2009,01,11XX ROBSON ST
Theft From Auto Under $5000,2009,01,24XX SPRUCE ST
Theft From Auto Under $5000,2009,01,32XX W 41ST AVE
Theft From Auto Under $5000,2009,01,32XX W 41ST AVE
Theft From Auto Under $5000,2009,01,SEYMOUR ST / W PENDER ST
Theft From Auto Under $5000,2009,01,24XX BLENHEIM ST
Theft From Auto Under $5000,2009,01,E 41ST AVE / SHERBROOKE ST
Theft From Auto Under $5000,2009,01,CAMBIE ST / W 41ST AVE
Theft From Auto Under $5000,2009,01,16XX HORNBY ST
Theft From Auto Under $5000,2009,01,54XX INVERNESS ST
Theft From Auto Under $5000,2009,01,52XX PRINCE ALBERT ST
Theft From Auto Under $5000,2009,01,8XX BIDWELL ST
Theft From Auto Under $5000,2009,01,11XX BURNABY ST
Theft From Auto Under $5000,2009,01,12XX RICHARDS ST
Theft From Auto Under $5000,2009,01,7XX RICHARDS ST
Theft From Auto Under $5000,2009,01,17XX W 8TH AVE
Theft From Auto Under $5000,2009,01,BUTE ST / ROBSON ST
Theft From Auto Under $5000,2009,01,12XX HARWOOD ST
Theft From Auto Under $5000,2009,01,BEACH AVE / BURRARD ST
Theft From Auto Under $5000,2009,01,1XX W CORDOVA ST
Theft From Auto Under $5000,2009,01,5XX RICHARDS ST
Theft From Auto Under $5000,2009,01,8XX AVISON WAY
Theft From Auto Under $5000,2009,01,46XX BELLEVUE DR
Theft From Auto Under $5000,2009,01,7XX W GEORGIA ST
Theft From Auto Under $5000,2009,01,10XX ALBERNI ST
Theft From Auto Under $5000,2009,01,34XX KINGSWAY AVE
Theft From Auto Under $5000,2009,01,13XX PENDRELL ST
Theft From Auto Under $5000,2009,01,58XX FLEMING ST
Theft From Auto Under $5000,2009,01,25XX PARKER ST
Theft From Auto Under $5000,2009,01,64XX WEST BLVD
Theft From Auto Under $5000,2009,01,16XX W 8TH AVE
Theft From Auto Under $5000,2009,01,64XX WEST BLVD
Theft From Auto Under $5000,2009,01,14XX W 15TH AVE
Theft From Auto Under $5000,2009,01,14XX E 4TH AVE
Theft From Auto Under $5000,2009,01,86XX OAK ST
Theft From Auto Under $5000,2009,01,9XX RICHARDS ST
Theft From Auto Under $5000,2009,01,9XX HOMER ST
Theft From Auto Under $5000,2009,01,12XX HOMER ST
Theft From Auto Under $5000,2009,01,HOWE ST / SMITHE ST
Theft From Auto Under $5000,2009,01,87XX FREMLIN ST
Theft From Auto Under $5000,2009,01,17XX ROBSON ST
Theft From Auto Under $5000,2009,01,87XX FREMLIN ST
Theft From Auto Under $5000,2009,01,7XX GREAT NORTHERN WAY
Theft From Auto Under $5000,2009,01,CARRALL ST / EXPO BLVD
Theft From Auto Under $5000,2009,01,4XX W 40TH AVE
Theft From Auto Under $5000,2009,01,16XX W 8TH AVE
Theft From Auto Under $5000,2009,01,28XX E 23RD AVE
Theft From Auto Under $5000,2009,01,BLENHEIM ST / W BROADWAY AVE
Theft From Auto Under $5000,2009,01,86XX HUDSON ST
Theft From Auto Under $5000,2009,01,BURRARD ST / W 13TH AVE
Theft From Auto Under $5000,2009,01,9XX HOMER ST
Theft From Auto Under $5000,2009,01,21XX W 46TH AVE
Theft From Auto Under $5000,2009,01,87XX FREMLIN ST
Theft From Auto Under $5000,2009,01,86XX HUDSON ST
Theft From Auto Under $5000,2009,01,4XX SEYMOUR ST
Theft From Auto Under $5000,2009,01,14XX W 7TH AVE
Theft From Auto Under $5000,2009,01,9XX HOMER ST
Theft From Auto Under $5000,2009,01,16XX W 8TH AVE
Theft From Auto Under $5000,2009,01,W 22ND AVE / WALLACE ST
Theft From Auto Under $5000,2009,01,16XX W 8TH AVE
Theft From Auto Under $5000,2009,01,16XX W 8TH AVE
Theft From Auto Under $5000,2009,01,10XX MAIN ST
Theft From Auto Under $5000,2009,01,20XX W 47TH AVE
Theft From Auto Under $5000,2009,01,11XX GILFORD ST
Theft From Auto Under $5000,2009,01,9XX BEACH AVE
Theft From Auto Under $5000,2009,01,33XX FIELDSTONE AVE
Theft From Auto Under $5000,2009,01,21XX W 46TH AVE
Theft From Auto Under $5000,2009,01,9XX BEACH AVE
Theft From Auto Under $5000,2009,01,6XX W 41ST AVE
Theft From Auto Under $5000,2009,01,8XX DENMAN ST
Theft From Auto Under $5000,2009,01,ROBSON ST / THURLOW ST
Theft From Auto Under $5000,2009,01,10XX W BROADWAY AVE
Theft From Auto Under $5000,2009,01,7XX THURLOW ST
Theft From Auto Under $5000,2009,01,10XX W BROADWAY AVE
Theft From Auto Under $5000,2009,01,8XX BUTE ST
Theft From Auto Under $5000,2009,01,E HASTINGS ST / NANAIMO ST
Theft From Auto Under $5000,2009,01,54XX VINE ST
Theft From Auto Under $5000,2009,01,87XX OSLER ST
Theft From Auto Under $5000,2009,01,34XX PRICE ST
Theft From Auto Under $5000,2009,01,18XX ROBSON ST
Theft From Auto Under $5000,2009,01,32XX ADANAC ST
Theft From Auto Under $5000,2009,01,25XX BROCK ST
Theft From Auto Under $5000,2009,01,14XX QUEBEC ST
Theft From Auto Under $5000,2009,01,86XX OAK ST
Theft From Auto Under $5000,2009,01,31XX W 43RD AVE
Theft From Auto Under $5000,2009,01,19XX W KING EDWARD AVE
Theft From Auto Under $5000,2009,01,1XX W CORDOVA ST
Theft From Auto Under $5000,2009,01,24XX W BROADWAY AVE
Theft From Auto Under $5000,2009,01,10XX E 61ST AVE
Theft From Auto Under $5000,2009,01,33XX HEATHER ST
Theft From Auto Under $5000,2009,01,9XX SMITHE ST
Theft From Auto Under $5000,2009,01,7XX W GEORGIA ST
Theft From Auto Under $5000,2009,01,6XX E 7TH AVE
Theft From Auto Under $5000,2009,01,7XX W 15TH AVE
Theft From Auto Under $5000,2009,01,7XX GREAT NORTHERN WAY
Theft From Auto Under $5000,2009,01,16XX W 8TH AVE
Theft From Auto Under $5000,2009,01,79XX FRENCH ST
Theft From Auto Under $5000,2009,01,13XX E 47TH AVE
Theft From Auto Under $5000,2009,01,16XX W 8TH AVE
Theft From Auto Under $5000,2009,01,29XX LAUREL ST
Theft From Auto Under $5000,2009,01,14XX E 1ST AVE
Theft From Auto Under $5000,2009,01,8XX BURRARD ST
Theft From Auto Under $5000,2009,01,8XX BURRARD ST
Theft From Auto Under $5000,2009,01,11XX ROBSON ST
Theft From Auto Under $5000,2009,01,7XX W 15TH AVE
Theft From Auto Under $5000,2009,01,8XX DENMAN ST
Theft From Auto Under $5000,2009,01,8XX BUTE ST
Theft From Auto Under $5000,2009,01,ROBSON ST / SEYMOUR ST
Theft From Auto Under $5000,2009,01,8XX AVISON WAY
Theft From Auto Under $5000,2009,01,44XX W 10TH AVE
Theft From Auto Under $5000,2009,01,1XX KEEFER PL
Theft From Auto Under $5000,2009,01,27XX GUELPH ST
Theft From Auto Under $5000,2009,01,BUTE ST / ROBSON ST
Theft From Auto Under $5000,2009,01,9XX HORNBY ST
Theft From Auto Under $5000,2009,01,8XX POWELL ST
Theft From Auto Under $5000,2009,01,14XX CREEKSIDE DR
Theft From Auto Under $5000,2009,01,24XX W BROADWAY AVE
Theft From Auto Under $5000,2009,01,24XX W BROADWAY AVE
Theft From Auto Under $5000,2009,01,24XX W BROADWAY AVE
